"c1","c2","text"
"100332944","2018-03-29",". did a GREAT article on just how vile the  agenda goes after  women relentlessly."
"1030777680","2018-03-29","are not the problem"
"1080069252","2018-03-29","The new sectional for our bonus room will be purchased from . Dear  ."
"110165014","2018-03-29","The Six Stages of Gun Grabbing"
"110556913","2018-03-29","The   where  people  what they expect from  .. ."
"110769384","2018-03-29","The ONLY  that's acceptable to me is, my Guns under MY CONTROL!!"
"112481764","2018-03-29","Are these the same children y'all have elevated to the status of  leaders? The media visible puppets of of ? Powered by the Bloomberg machine and money. Don't like the fire of being a public figure? Go back to school. Oh wait. No college wants him..."
"117200890","2018-03-29","Cuz... If I do recall... No gunshot I ever heard sounded like people pounding on lockers or banging on doors...  "", ""I also summon anybody who has a handgun and some typa cement layered building to demonstrate what a gunshot sounds like in closed doors...  "", ""To anybody who owns an assault rifle and a few acres of land... I summon you to shoot your rifle at night in the same distance of the Las Vegas shooting... And videotape it...  ""
)"
"1183424425","2018-03-29","A Vermonter goes ""window shopping"" as the legislature advances a  bill through the  House."
"1247573930","2018-03-29","Laura Ingraham ""only apologized after we went after her advertisers. It kind of speaks for itself."
"1273566301","2018-03-29","Thank you for gundamentalists it is a great addition to ammosexuals. Does anyone have a thesaurus for gun nut descriptions?"
"12896172","2018-03-29","Anti gun activist  rejects Laura  apology after calling for advertiser boycott"
"1324778076","2018-03-29","THIS! We shouldn't have to worry about our partners, husbands, boyfriends, fathers, sons, brothers, uncles, cousins getting unlawfully slaughtered by the officers who vow to PROTECT... makes me sick."
"133321428","2018-03-29","I just called on MI elected officials to pass a Red Flag law to help prevent gun tragedies in our state, will you join me?"
"1440658580","2018-03-29","Of course 79% of  participants identified as ""left leaning"" but with only 12% reporting they were marching for  why were they there? Free vacation maybe!?"
"148867097","2018-03-29","Possible inclusion of  bills A-8976B/S-7133A in state budget deal."
"1510432352","2018-03-29","Enough is ENOUGH. Good going  ! The majority of Americans are with you and the Parkland kids in gun reform."
"151495144","2018-03-29","Advertisers Ditching Laura Ingraham's Show Over Attack On Parkland Survivorva  THAT'S SO RIGHT!!! Don't Waste The Strongest Movement in the US in years for . Be Part Of The Change To ."
"1521024950","2018-03-29","Statements like these are more than smear campaigns. They are earnest efforts to incite violence against these young activists."
"15282651","2018-03-29","So the important part of the 2ed amendment is well regulated"
"1529128494","2018-03-29","This or that the best response is more guns may be the weirdest reaction to a shooting I've ever seen. This is worse than ."
"154705374","2018-03-29","Of course they do. Doesn't fit the    Outlets Ignore ' Skepticism of"
"15736424","2018-03-29","   Wrong, not my argument at all. Laws that violate Inherent Rights, is tyranny is my point. Such as any and all  laws do.  is nonsense  is tyranny"", ""   It's not a contradiction.  laws do nothing to stop criminals, they only impede and infringe on law abiding People's Rights. Malum prohibitum laws do not stop malum in se crimes. The purpose of laws is to define crimes and punishment for them.  ""
)"
"15843059","2018-03-29","Why David Hogg is the MOST DANGEROUS person in America."
"159305153","2018-03-29","Parkland student activists want more young adults to votevia   _kasky Serious question here. I live in the hood.. will your  agenda make my neighborhood safer? I'll wait"
